Rec-201220_agamon_flir_100m-349_11_38_44_688_1613.tif,33.10982227,35.60382655,99.9,13.5,0.6,153.3,1.5,0.5
Rec-201220_agamon_flir_100m-349_11_38_44_688_1614.tif,33.10981416,35.6038083,99.9,13.4,0.9,153.4,1.5,0.5
Rec-201220_agamon_flir_100m-349_11_38_44_688_1615.tif,33.10980822,35.60379483,99.9,13,0.8,153.4,1.5,0.5
Rec-201220_agamon_flir_100m-349_11_38_44_688_1616.tif,33.10979876,35.60377321,99.9,12.7,1.2,153.4,1.5,0.5
Rec-201220_agamon_flir_100m-349_11_38_44_688_1617.tif,33.10979225,35.60375792,99.9,12.9,1,153.3,1.5,0.5
Rec-201220_agamon_flir_100m-349_11_38_44_688_1618.tif,33.10978196,35.60373345,99.9,13.7,0.9,153.3,1.5,0.5
Rec-201220_agamon_flir_100m-349_11_38_44_688_1619.tif,33.10977495,35.60371648,99.9,13.6,0.6,153.2,1.5,0.5
Rec-201220_agamon_flir_100m-349_11_38_44_688_1620.tif,33.10976385,35.60368966,99.9,14.2,0.3,153.1,1.5,0.5
Rec-201220_agamon_flir_100m-349_11_38_44_688_1621.tif,33.10975614,35.60367113,99.9,14.6,0.1,153.1,1.5,0.5
Rec-201220_agamon_flir_100m-349_11_38_44_688_1622.tif,33.10974417,35.60364242,99.9,8.6,0.1,153.1,1.5,0.5
Rec-201220_agamon_flir_100m-349_11_38_44_688_1623.tif,33.10973604,35.60362329,99.9,2.5,0.3,153.1,1.5,0.5
Rec-201220_agamon_flir_100m-349_11_38_44_688_1624.tif,33.1097241,35.60359502,100,-5.8,0.6,153.2,1.5,0.5
Rec-201220_agamon_flir_100m-349_11_38_44_688_1625.tif,33.10971668,35.60357712,100,-9.9,1.2,153.3,1.5,0.5
Rec-201220_agamon_flir_100m-349_11_38_44_688_1626.tif,33.10970661,35.6035518,100,-12.8,1.4,153.5,1.5,0.5
Rec-201220_agamon_flir_100m-349_11_38_44_688_1627.tif,33.10970081,35.60353644,100,-12.8,0.2,153.8,1.5,0.5
Rec-201220_agamon_flir_100m-349_11_38_44_688_1628.tif,33.10969333,35.60351541,99.9,-9.6,-1.3,153.9,1.5,0.5
Rec-201220_agamon_flir_100m-349_11_38_44_688_1629.tif,33.10968882,35.60350263,99.9,-5.7,-2.2,153.9,1.5,0.5
Rec-201220_agamon_flir_100m-349_11_38_44_688_1630.tif,33.10968218,35.6034845,99.9,3,-3.3,153.3,1.5,0.5
Rec-201220_agamon_flir_100m-349_11_38_44_688_1631.tif,33.10967742,35.60347217,100,7.9,-3.2,153,1.5,0.5
Rec-201220_agamon_flir_100m-349_11_38_44_688_1632.tif,33.1096692,35.60345227,100,13.2,-1,152.9,1.5,0.5
Rec-201220_agamon_flir_100m-349_11_38_44_688_1633.tif,33.10966305,35.60343804,100.1,13.7,-0.3,152.9,1.5,0.5
Rec-201220_agamon_flir_100m-349_11_38_44_688_1634.tif,33.10965294,35.60341497,100.1,11.3,-0.1,152.9,1.5,0.5
